Date,EURUSD=X,USDJPY=X,spread,velocity
2011-03-18,1.403292,79.5,-79.75353,0.1030902
2011-03-21,1.417053,81.015,-79.64231,0.1037726
2011-03-22,1.421707,81.209,-79.57707,0.1005386
2011-03-23,1.416812,81.039,-79.49909,0.09864482
2011-03-24,1.410596,80.867,-79.40911,0.09791731
2011-03-25,1.417193,81.014,-79.35543,0.09420406
2011-03-28,1.402603,81.449,-79.38283,0.08399613
2011-03-29,1.407975,81.76,-79.46196,0.07030368
2011-03-30,1.411114,82.411,-79.64074,0.04939513
2011-03-31,1.41213,83.15,-79.9238,0.0214883
2011-04-01,1.415869,83.36,-80.21855,-0.005057221
2011-04-04,1.422333,84.22,-80.62228,-0.03852234
2011-04-05,1.42201,84.13,-80.97788,-0.06513758
2011-04-06,1.421909,85.16,-81.46043,-0.1001761
2011-04-07,1.433527,85.32,-81.92084,-0.1304145
2011-04-08,1.430206,84.96,-82.28025,-0.1496368
2011-04-11,1.446215,85.04,-82.61016,-0.1647686
2011-04-12,1.443793,84.63,-82.83862,-0.1701156
2011-04-13,1.447639,83.6,-82.8761,-0.1589819
2011-04-14,1.44421,83.783,-82.92724,-0.1499294
2011-04-18,1.441296,83.147,-82.86476,-0.1320991
2011-04-19,1.422394,82.334,-82.67389,-0.104989
2011-04-20,1.433795,82.58,-82.52601,-0.08376276
2011-04-21,1.4514,82.44,-82.35868,-0.0626861
2011-04-22,1.455498,81.897,-82.11472,-0.03694608
2011-04-25,1.45571,81.87,-81.88258,-0.01435859
2011-04-26,1.457896,81.84,-81.66232,0.005335728
2011-04-27,1.468795,81.511,-81.40689,0.02632933
2011-04-28,1.478,82.204,-81.27918,0.03483913
2011-04-29,1.484406,81.53,-81.05868,0.05042393
2011-05-02,1.479399,81.227,-80.813,0.06681358
2011-05-03,1.482382,81.18,-80.58378,0.08044592
2011-05-04,1.483327,80.969,-80.34572,0.09367646
2011-05-05,1.482975,80.64,-80.08245,0.1079127
2011-05-06,1.45444,80.417,-79.8178,0.1210693
2011-05-09,1.435297,80.734,-79.63508,0.126244
2011-05-10,1.437608,80.242,-79.39973,0.1354024
2011-05-11,1.441109,81.011,-79.31166,0.1314298
2011-05-12,1.4211,81.01,-79.24352,0.1261167
2011-05-13,1.423792,81.04,-79.19466,0.1196317
2011-05-16,1.407796,80.817,-79.12679,0.1152871
2011-05-17,1.415809,80.782,-79.06643,0.1106759
2011-05-18,1.4269,81.421,-79.11658,0.0971765
2011-05-19,1.425517,81.661,-79.20775,0.08136628
2011-05-20,1.431619,81.714,-79.30543,0.0663373
2011-05-23,1.410576,81.74,-79.40796,0.05216197
2011-05-24,1.403666,81.957,-79.54127,0.03659291
2011-05-25,1.4099,82.048,-79.68023,0.02185749
2011-05-26,1.40849,82.022,-79.8063,0.009439748
2011-05-27,1.413507,81.27,-79.8061,0.008664555
2011-05-30,1.429736,80.831,-79.73607,0.0138151
2011-05-31,1.432234,80.88,-79.67975,0.0173838
2011-06-01,1.442793,81.453,-79.71624,0.01286145
2011-06-02,1.434494,80.894,-79.6656,0.01603201
2011-06-03,1.448604,80.97,-79.62972,0.01769839
2011-06-06,1.465502,80.22,-79.47921,0.02884697
2011-06-07,1.4583,80.12,-79.32821,0.03910024
2011-06-08,1.468601,80.17,-79.19809,0.04674107
2011-06-09,1.460195,79.89,-79.03959,0.05612175
2011-06-10,1.451568,80.29,-78.96101,0.05800737
2011-06-13,1.43326,80.34,-78.90358,0.05795878
2011-06-14,1.441691,80.176,-78.82838,0.05940588
2011-06-15,1.445003,80.54,-78.81947,0.05516727
2011-06-16,1.418198,80.88,-78.87233,0.04609916
2011-06-17,1.41991,80.577,-78.87748,0.04179766
2011-06-20,1.42851,80.076,-78.80653,0.04424433
2011-06-21,1.432542,80.234,-78.76835,0.04373504
2011-06-22,1.438166,80.221,-78.73364,0.04297818
2011-06-23,1.431434,80.383,-78.73107,0.03958609
2011-06-24,1.427002,80.44,-78.74128,0.03540604
2011-06-27,1.417133,80.46,-78.75807,0.03102482
2011-06-28,1.43168,80.85,-78.83411,0.0220376
2011-06-29,1.435791,81.08,-78.94095,0.01121901
2011-06-30,1.44789,80.71,-78.98121,0.006897838
2011-07-01,1.449695,80.6,-79.00157,0.004609831
2011-07-04,1.453996,80.88,-79.06341,-0.0009680731
2011-07-05,1.455307,80.733,-79.09742,-0.003741346
2011-07-06,1.442814,81.07,-79.18263,-0.01058016
2011-07-07,1.433158,80.938,-79.24148,-0.01463169
2011-07-08,1.436451,81.23,-79.33935,-0.02161892
2011-07-11,1.420192,80.65,-79.34065,-0.01991373
2011-07-12,1.40406,80.29,-79.28706,-0.01374314
2011-07-13,1.396902,79.318,-79.08711,0.004194235
2011-07-14,1.423427,78.92,-78.83722,0.02481816
2011-07-15,1.415729,79.18,-78.65007,0.03844483
2011-07-18,1.41231,79.113,-78.47054,0.05028778
2011-07-19,1.411194,79.05,-78.29922,0.06044719
2011-07-20,1.417294,79.126,-78.15667,0.06733852
2011-07-21,1.427002,78.754,-77.97126,0.07724962
2011-07-22,1.442003,78.584,-77.77754,0.08702651
2011-07-25,1.438849,78.38,-77.57445,0.09676894
2011-07-26,1.437153,78.3,-77.38246,0.1047623
2011-07-27,1.45081,77.914,-77.15154,0.1153516
2011-07-28,1.437298,77.93,-76.95201,0.1224174
2011-07-29,1.433199,77.73,-76.74708,0.1293442
2011-08-01,1.436369,77.213,-76.48746,0.1402793
2011-08-02,1.426208,77.46,-76.29864,0.1443537
2011-08-03,1.417334,77.335,-76.11764,0.1474301
2011-08-04,1.435297,77.112,-75.92475,0.1512459
2011-08-05,1.406707,79.29,-76.10027,0.1238168
2011-08-08,1.429409,78.254,-76.10782,0.1127903
2011-08-09,1.417073,77.585,-76.02181,0.1105424
2011-08-10,1.438311,77.05,-75.86486,0.1144371
2011-08-11,1.412469,76.759,-75.68787,0.1196881
2011-08-12,1.422637,76.86,-75.54792,0.1213889
2011-08-15,1.427409,76.82,-75.42128,0.1218302
2011-08-16,1.443835,76.84,-75.31443,0.1205728
2011-08-17,1.439802,76.754,-75.21249,0.1190082
2011-08-18,1.442918,76.547,-75.09512,0.1188705
2011-08-19,1.432439,76.637,-75.01161,0.1159022
2011-08-22,1.436926,76.786,-74.96593,0.1100081
2011-08-23,1.436101,76.832,-74.93955,0.1029879
2011-08-24,1.44371,76.66,-74.89538,0.09805109
2011-08-25,1.441234,77.053,-74.92347,0.08746263
2011-08-26,1.437298,77.435,-75.01593,0.07235957
2011-08-29,1.449506,76.682,-74.98832,0.06860333
2011-08-30,1.452433,76.933,-75.00658,0.06131179
2011-08-31,1.443314,76.701,-74.99366,0.05725014
2011-09-01,1.437463,76.73,-74.99157,0.05262009
2011-09-02,1.426208,76.86,-75.01559,0.04618662
2011-09-05,1.415769,76.902,-75.04945,0.03946735
2011-09-06,1.406312,76.902,-75.08521,0.03315271
2011-09-07,1.400325,77.618,-75.23259,0.01799864
2011-09-08,1.40857,77.301,-75.31957,0.009186056
2011-09-09,1.390414,77.508,-75.43541,-0.001308286
2011-09-12,1.360082,77.463,-75.5399,-0.009969481
2011-09-13,1.366027,77.18,-75.59077,-0.01340309
2011-09-14,1.368607,76.932,-75.59786,-0.01287286
2011-09-15,1.374608,76.677,-75.56298,-0.008864176
2011-09-16,1.386905,76.734,-75.53703,-0.005942294
2011-09-19,1.370145,76.91,-75.54249,-0.005901794
2011-09-20,1.360563,76.596,-75.49992,-0.001833085
2011-09-21,1.369394,76.463,-75.43854,0.003473267
2011-09-22,1.358603,76.538,-75.39547,0.006797193
2011-09-23,1.34809,76.306,-75.32195,0.0123975
2011-09-26,1.354701,76.54,-75.29031,0.01401296
2011-09-27,1.351808,76.336,-75.23106,0.01781064
2011-09-28,1.358234,76.808,-75.24988,0.01473569
2011-09-29,1.353766,76.54,-75.22757,0.01537154
2011-09-30,1.358585,76.765,-75.24228,0.01284652
2011-10-03,1.336095,77.19,-75.32615,0.004727748
2011-10-04,1.319505,76.592,-75.31385,0.005363814
2011-10-05,1.333013,76.76,-75.32684,0.00382311
2011-10-06,1.333992,76.782,-75.34237,0.002198083
2011-10-07,1.342895,76.658,-75.33629,0.002524034
2011-10-10,1.338598,76.77,-75.34889,0.001254737
2011-10-11,1.36355,76.66,-75.33971,0.001920113
2011-10-12,1.364573,76.667,-75.33231,0.002379821
2011-10-13,1.379196,77.18,-75.40286,-0.00374197
2011-10-14,1.373551,76.88,-75.42207,-0.005040042
2011-10-17,1.387906,77.22,-75.48983,-0.01030528
2011-10-18,1.3744,76.831,-75.49339,-0.009739276
2011-10-19,1.374004,76.777,-75.48762,-0.008437414
2011-10-20,1.3765,76.8,-75.48482,-0.007494089
2011-10-21,1.377904,76.86,-75.49073,-0.007361214
2011-10-24,1.384773,76.21,-75.39388,0.001386702
2011-10-25,1.392234,76.132,-75.2914,0.009872712
2011-10-26,1.390453,76.109,-75.19433,0.01719194
2011-10-27,1.387694,76.184,-75.11816,0.02214315
2011-10-28,1.417394,75.93,-75.00565,0.02972796
2011-10-31,1.414007,75.74,-74.87526,0.03817771
2011-11-01,1.386001,78.308,-75.16,0.01107195
2011-11-02,1.365598,78.306,-75.42639,-0.01221886
2011-11-03,1.369,78.139,-75.64482,-0.02952812
2011-11-04,1.382992,78.053,-75.82856,-0.04247264
2011-11-07,1.37893,78.13,-76.00733,-0.05391394
2011-11-08,1.376008,78.077,-76.16033,-0.06223128
2011-11-09,1.382648,77.708,-76.23848,-0.06356766
2011-11-10,1.352667,77.758,-76.31805,-0.06491047
2011-11-11,1.361007,77.652,-76.36871,-0.06371486
2011-11-14,1.378702,77.156,-76.33096,-0.05519755
2011-11-15,1.362416,77.079,-76.28245,-0.0464925
2011-11-16,1.350713,77.06,-76.23297,-0.03843633
2011-11-17,1.344104,77.061,-76.18552,-0.03122712
2011-11-18,1.345804,76.958,-76.12312,-0.02336734
